,Period,Country,Event_type,Outline,,States,Non-structured-data,More Information of Incident
97,30-10-2007,India,Flood,Heavy and continuous rainfall over the past five days has caused widespread flooding and the deaths of at least 13 people in the state of Tamil Nadu.,,tamil',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2007-000203-IND"">FL-2007-000203-IN', 'http://www.alertnet.org/thenews/fromthefield/222031/119374110468.htm"">Re']","['2007/10/30', 'India', 'Flood', 'Heavy and continuous rainfall over the past five days has caused widespread flooding and the deaths of at least 13 people in the state of Tamil Nadu.  ']"
98,30-08-2007,India,Flash Flood,"At least five people have died in flash floods in India's north-eastern state of Assam, officials said.",,assam',"['http://wap.alertnet.org/thenews/newsdesk/SP174733.htm"">Re', 'http://news.bbc.co.uk/1/hi/world/south_asia/6968299.stm']","['2007/08/30', 'India', 'Flash Flood', ""At least five people have died in flash floods in India's north-eastern state of Assam, officials said. \r\n""]"
99,06-07-2007,India,Flood,"Thousands of people in eastern India were marooned for a fourth straight day on Friday as torrential rains hampered relief work, while in neighbouring Bangladesh two people were killed by landslides.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2007-000096-IND"">FL-2007-000096-IN', 'http://wap.alertnet.org/thenews/newsdesk/SP174733.htm"">Re', 'http://news.bbc.co.uk/1/hi/world/south_asia/6968299.stm', 'http://www.alertnet.org/thenews/newsdesk/DEL296641.htm"">Re', 'http://edition.cnn.com/2007/WORLD/asiapcf/08/04/asia.floods.ap/index.html"">CN', 'http://edition.cnn.com/2007/WORLD/asiapcf/07/18/india.rain.reut/index.html"">CN', 'http://www.alertnet.org/thenews/newsdesk/DEL267798.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/DEL168173.htm"">Re']","['2007/07/06', 'India', 'Flood', 'Thousands of people in eastern India were marooned for a fourth straight day on Friday as torrential rains hampered relief work, while in neighbouring Bangladesh two people were killed by landslides.']"
100,23-06-2007,India,Severe Local Storm,"On 23 July 2007, A ferocious storm in India's southern Andhra Pradesh state has killed at least 45 people and displaced tens of thousands.",,andhra',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2007-000084-IND"">TC-2007-000084-IN', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/TKAI-74H3DU?OpenDocument&amp;rc=3&amp;emid=FF-2007-000083-IND""', 'http://www.alertnet.org/thenews/newsdesk/DEL160693.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/DEL143527.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/DEL137371.htm"">Re']","['2007/06/23', 'India', 'Severe Local Storm', ""On 23 July 2007, A ferocious storm in India's southern Andhra Pradesh state has killed at least 45 people and displaced tens of thousands.""]"
101,17-06-2007,India,Flash Flood,"At least 16 people have been killed by lightning and flash floods in eastern India as heavy monsoon rains lashed the region, police and witnesses said on June 18, 2007.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FF-2007-000083-IND"">FF-2007-000083-IN', 'http://www.alertnet.org/thenews/newsdesk/SP90584.htm"">Re']","['2007/06/17', 'India', 'Flash Flood', 'At least 16 people have been killed by lightning and flash floods in eastern India as heavy monsoon rains lashed the region, police and witnesses said on June 18, 2007.']"
102,05-01-2007,India,Cold Wave,"Cold weather across northern and eastern India has killed at least 80 people in the past week, forcing authorities to close schools and colleges and deliver firewood to the homeless, officials said on Friday.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=CW-2007-000014-IND"">CW-2007-000014-IN', 'http://www.alertnet.org/thenews/newsdesk/B586170.htm"">Re']","['2007/01/05', 'India', 'Cold Wave', 'Cold weather across northern and eastern India has killed at least 80 people in the past week, forcing authorities to close schools and colleges and deliver firewood to the homeless, officials said on Friday.']"
103,27-08-2006,India,Flood,"Monsoon rains and flooding have killed at least 130 people in Indias western state of Rajasthan, officials said on Monday, with huge swathes of desert underwater.",,rajasthan',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2006-000137-IND"">FL-2006-000137-IN', 'http://www.alertnet.org/thenews/newsdesk/DEL81191.htm"">Reu', 'http://news.bbc.co.uk/1/hi/world/south_asia/5311292.stm', 'http://www.alertnet.org/thenews/newsdesk/DEL256432.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/DEL323908.htm"">Reu']","['2006/08/27', 'India', 'Flood', 'Monsoon rains and flooding have killed at least 130 people in Indias western state of Rajasthan, officials said on Monday, with huge swathes of desert underwater. ']"
104,04-08-2006,India,Flood,"Monsoon rains and floods have killed 42 people in southern and eastern India and displaced tens of thousands of others, officials said on Friday",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2006-000117-IND"">FL-2006-000117-IN', 'http://www.alertnet.org/thenews/newsdesk/BOM206828.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/B699064.htm"">Reu', 'http://www.cnn.com/2006/WEATHER/08/08/floods.southasia.reut/index.html"">CN', 'http://www.alertnet.org/thenews/newsdesk/DEL139314.htm"">Reu', 'http://www.alertnet.org/thenews/newsdesk/B161264.htm"">Reu', 'http://earthobservatory.nasa.gov/NaturalHazards/natural_hazards_v2.php3?img_id=13803"">', 'http://www.alertnet.org/thenews/pictures/DEL12r.htm"">Reu']","['2006/08/04', 'India', 'Flood', 'Monsoon rains and floods have killed 42 people in southern and eastern India and displaced tens of thousands of others, officials said on Friday']"
105,08-07-2006,India,Flood,"Monsoon rains have inundated large parts of Uttar Pradesh state in India, and 21 people were killed in drownings, house collapses and lightning strikes over the weekend, officials said on Monday.",,uttar',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2006-000096-IND"">FL-2006-000096-IN', 'http://www.alertnet.org/thenews/newsdesk/B245582.htm"">Reu']","['2006/07/08', 'India', 'Flood', 'Monsoon rains have inundated large parts of Uttar Pradesh state in India, and 21 people were killed in drownings, house collapses and lightning strikes over the weekend, officials said on Monday.']"
106,04-07-2006,India,Flood,"Heavy rains triggered floods and landslides across India, killing 32 people and disrupting life in the financial hub of Mumbai for a second day on Tuesday, officials and residents said.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2006-000094-IND"">FL-2006-000094-IN', 'http://www.alertnet.org/thenews/newsdesk/SP113583.htm"">Reu', 'http://www.expressindia.com/fullstory.php?newsid=70419""', 'http://news.bbc.co.uk/1/hi/world/south_asia/5144494.stm', 'http://www.alertnet.org/thenews/newsdesk/DEL107061.htm"">Reu', 'http://www.alertnet.org/thenews/pictures/MUM01.htm"">Reu']","['2006/07/04', 'India', 'Flood', 'Heavy rains triggered floods and landslides across India, killing 32 people and disrupting life in the financial hub of Mumbai for a second day on Tuesday, officials and residents said.']"
107,11-06-2006,India,Flash Flood,"The floods struck when many people were sleeping 
Around 130 people have died in flash floods in India's north-eastern state of Assam since Saturday. The worst affected area is the district of Goalpara where at least 80 villagers are still missing, officials say.",,assam',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FF-2006-000082-IND"">FF-2006-000082-IN', 'http://www.swissinfo.org/eng/international/ticker/detail/Floods_in_South_Asia_hit_1_5_million.html?siteSect=143&amp;sid=6809126&amp;cKey=1150447106000"">Swissinfo\u30002006/06/1', 'http://news.bbc.co.uk/1/hi/world/south_asia/3731590.stm']","['2006/06/11', 'India', 'Flash Flood', ""The floods struck when many people were sleeping \r\nAround 130 people have died in flash floods in India's north-eastern state of Assam since Saturday. The worst affected area is the district of Goalpara where at least 80 villagers are still missing, officials say. \r\n\r\n""]"
108,20-05-2006,India,Lightning,"Lightning strikes and falling trees have killed 20 people in pre-monsoon storms which lashed two Indian states, officials said on Saturday. At least 12 people died in the southern state of Andhra Pradesh and eight others were struck dead by lightning in West Bengal on Friday, they said",,andhra',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=OT-2006-000083-IND"">OT-2006-000083-IN', 'http://www.alertnet.org/thenews/newsdesk/DEL74424.htm"">Re']","['2006/05/20', 'India', 'Lightning', 'Lightning strikes and falling trees have killed 20 people in pre-monsoon storms which lashed two Indian states, officials said on Saturday. At least 12 people died in the southern state of Andhra Pradesh and eight others were struck dead by lightning in West Bengal on Friday, they said']"
109,10-05-2006,India,Heat Wave,"At least 27 people have died in India from scorching weather, officials said on Monday, and authorities in the capital ordered an early start to summer holidays to protect children from the heat wave.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=HT-2006-000077-IND"">HT-2006-000077-IN', 'http://edition.cnn.com/2006/WORLD/asiapcf/05/10/india.weather.reut/index.html']","['2006/05/10', 'India', 'Heat Wave', 'At least 27 people have died in India from scorching weather, officials said on Monday, and authorities in the capital ordered an early start to summer holidays to protect children from the heat wave.\r\n']"
110,08-01-2006,India,Cold Wave,"Temparatures dropped to the lowest in 70 years in northern India, where more than 130 people have died  as a result of the cold.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=CW-2006-000005-IND"">CW-2006-000005-IN', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/KHII-6L787L?OpenDocument&amp;rc=3&amp;emid=CW-2006-000005-IND"">Reli', 'http://news.bbc.co.uk/1/hi/world/south_asia/4594918.stm', 'http://www.cnn.com/2006/WORLD/asiapcf/01/08/india.coldwave.ap/', 'http://news.bbc.co.uk/1/hi/world/south_asia/4592240.stm']","['2006/01/08', 'India', 'Cold Wave', 'Temparatures dropped to the lowest in 70 years in northern India, where more than 130 people have died  as a result of the cold.']"
111,05-12-2005,India,Flood,"Torrential rains have killed 21 people and rendered thousands homeless in the southern Indian state of Andhra Pradesh, officials said on on 4 December.",,andhra',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=ST-2005-000204-IND"">ST-2005-000204-IN', 'http://www.alertnet.org/thenews/newsdesk/DEL227953.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/B519989.htm"">Re']","['2005/12/05', 'India', 'Flood', 'Torrential rains have killed 21 people and rendered thousands homeless in the southern Indian state of Andhra Pradesh, officials said on on 4 December.']"
112,25-11-2005,India,Flood,"At least 75 people were killed and 53 injured when rising floodwaters reportedly swept two crowded buses away on 25 November in the southern Indian state of Tamil Nadu, according to Indian media and authorities.",,tamil',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2005-000200-IND"">FL-2005-000200-IN', 'http://www.chinadaily.com.cn/english/doc/2005-12/05/content_500446.htm"">chinadaily.com2005/12/0', 'http://news.bbc.co.uk/1/hi/world/south_asia/4497874.stm', 'http://news.bbc.co.uk/1/hi/world/south_asia/4477446.stm', 'http://www.alertnet.org/thenews/newsdesk/DEL67716.htm"">Re', 'http://edition.cnn.com/2005/WORLD/asiapcf/11/26/india.bus.crash/index.html']","['2005/11/25', 'India', 'Flood', 'At least 75 people were killed and 53 injured when rising floodwaters reportedly swept two crowded buses away on 25 November in the southern Indian state of Tamil Nadu, according to Indian media and authorities.']"
113,23-10-2005,India,Flood,"Tens of thousands of people were marooned by flooding in eastern India on Saturday after three days of torrential rains that killed at least 10 people, officials said.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2005-000182-IND"">FL-2005-000182-IN', 'http://news.bbc.co.uk/1/hi/world/south_asia/4419170.stm', 'http://www.alertnet.org/thenews/newsdesk/DEL284161.htm"">Re', 'http://news.bbc.co.uk/1/hi/world/south_asia/4384146.stm', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/EGUA-6HKPW6?OpenDocument&amp;rc=3&amp;emid=FL-2005-000182-IND""', 'http://news.bbc.co.uk/1/hi/world/south_asia/4378582.stm', 'http://news.bbc.co.uk/1/hi/world/south_asia/4381874.stm', 'http://www.alertnet.org/thenews/newsdesk/B274251.htm"">Re', 'http://news.bbc.co.uk/1/hi/world/south_asia/4371662.stm', 'http://www.alertnet.org/thenews/newsdesk/DEL136405.htm"">Re']","['2005/10/23', 'India', 'Flood', 'Tens of thousands of people were marooned by flooding in eastern India on Saturday after three days of torrential rains that killed at least 10 people, officials said.\r\n']"
114,08-10-2005,India,Earthquake,"The death toll nears 1,300 with over 6,200 people injured in Indian-administrated Kashmir from the powerful earthquake, which has claimed as many as 38,000 lives in northern Pakistan.",,kashmir',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=EQ-2005-000174-IND"">EQ-2005-000174-IN', 'http://www.ndmindia.nic.in/Earthquake2005/Sitrep%20on%2026th.doc"">Nai', 'http://www.ndmindia.nic.in/Earthquake2005/sitrep%2024.', 'http://www.ndmindia.nic.in/Earthquake2005/report%20on%2014.doc"">Nai', 'http://www.ndmindia.nic.in/Earthquake2005/sitrep%20on%2013.doc"">Nai', 'http://www.ndmindia.nic.in/Earthquake2005/REPORT%20on%2011th.doc"">Nai', 'http://www.ndmindia.nic.in/Earthquake2005/Sitrep%20of%2010th%20at%202330%20hours.doc"">Nai', 'http://www.ndmindia.nic.in/Earthquake2005/Report%20on%209th%20Oct1800hr.doc"">Nai', 'http://www.ndmindia.nic.in/Earthquake2005/earthquake_report%2013hr.doc"">Nai', 'http://www.ndmindia.nic.in/Earthquake2005/report_on8th_Oct%2016hr.doc"">Nai', 'http://news.bbc.co.uk/1/hi/in_depth/south_asia/2005/south_asia_quake/default.stm', 'http://edition.cnn.com/SPECIALS/2005/asia.quake/"">CN', 'http://www.ndmindia.nic.in/Earthquake2005/Sitrep%20on%2026th.doc"">Nai', 'http://www.ndmindia.nic.in/Earthquake2005/sitrep%2024.', 'http://www.ndmindia.nic.in/Earthquake2005/report%20on%2014.doc"">Nai', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/ACIO-6HBS7U?OpenDocument&amp;rc=3&amp;emid=EQ-2005-000174-PAK""', 'http://www.ndmindia.nic.in/Earthquake2005/sitrep%20on%2013.doc"">Nai', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/ACIO-6H9RSK?OpenDocument&amp;rc=3&amp;emid=EQ-2005-000174-PAK""', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/EGUA-6H6RME?OpenDocument&amp;rc=3&amp;cc=pak""', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/CDUN-6H8KUL?OpenDocument&amp;rc=3&amp;emid=EQ-2005-000174-PAK""', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/ACIO-6H7PFF?OpenDocument&amp;rc=3&amp;emid=EQ-2005-000174-PAK""', 'http://www.vic-info.org/RegionsTop.nsf/ce7a71ce2912c7330a25707c0065b5f9/df686d871d227b530a25709800163587?OpenDocument"">Sp', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/EGUA-6H5S7R?OpenDocument&amp;rc=3&amp;cc=pak""', 'http://www.ndmindia.nic.in/Earthquake2005/Report%20on%2012th.doc"">Nai', 'http://www.ndmindia.nic.in/Earthquake2005/REPORT%20on%2011th.doc"">Nai', 'http://news.bbc.co.uk/1/hi/world/south_asia/4330488.stm', 'http://www.ndmindia.nic.in/Earthquake2005/Sitrep%20of%2010th%20at%202330%20hours.doc"">Nai', 'http://www.ndmindia.nic.in/Earthquake2005/Report%20on%209th%20Oct1800hr.doc"">Nai', 'http://www.ndmindia.nic.in/Earthquake2005/earthquake_report%2013hr.doc"">Nai', 'http://www.ndmindia.nic.in/Earthquake2005/report_on8th_Oct%2016hr.doc"">Nai', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/EGUA-6H2RYT?OpenDocument&amp;rc=3&amp;emid=EQ-2005-000174-PAK""', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/SNAO-6GZS8K?OpenDocument&amp;rc=3&amp;emid=EQ-2005-000174-PAK""', 'http://news.bbc.co.uk/1/hi/world/south_asia/4325878.stm', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/ACIO-6GYP3Y?OpenDocument&amp;rc=3&amp;cc=ind""', 'http://www.alertnet.org/thenews/newsdesk/DEL252545.htm"">Re', 'http://earthquake.usgs.gov/eqinthenews/2005/usdyae/""']","['2005/10/08', 'India', 'Earthquake', 'The death toll nears 1,300 with over 6,200 people injured in Indian-administrated Kashmir from the powerful earthquake, which has claimed as many as 38,000 lives in northern Pakistan.', 'Dead: 1,309\r\nInjured: 6,622\r\nMissing: 32', 'Buildings/houses either completely or partially damaged: 37,607', '', 'Dead: 1,308\r\nInjured: 6,622\r\nMissing: 33', 'Buildings/houses either completely or partially damaged: 37,607  \t', '', 'Dead: 1,300\r\nInjured: 6,324\r\nMissing: 21', 'Buildings/houses either completely or partially damaged: 37,607', '', 'Dead: 1,297\r\nInjured: 6,266\r\nMissing: 21', 'Buildings/houses either completely or partially damaged: 32,723', '', 'Dead: 1,280\r\nInjured: 5,886\r\nMissing: 16', 'Buildings/houses either completely or partially damaged: 32,355', '', 'Dead: 1,029\r\nInjured: 4,386\r\nMissing: 16', 'Buildings either collapsed or damaged: 32,335', '', 'Dead: 658\r\nInjured: 990', 'Houses damaged: 3,100', '', 'Dead: 319\r\nInjured: 892', 'Houses damaged: 2,209', '', 'Dead: 250\r\nInjured: 613', 'About 2,000 houses were damaged including 900 fully damaged buildings.\r\nMost of stone buildings collapsed.', '']"
115,20-09-2005,India,Severe Local Storm,"A powerful storm lashed across coastal districts of eastern India, killing at least 34 people and forcing more than 50,000 people from their home.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=ST-2005-000162-IND"">ST-2005-000162-IN', 'http://www.alertnet.org/thenews/newsdesk/DEL106318.htm"">Re', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/EGUA-6GFL5Q?OpenDocument&amp;rc=3&amp;emid=ST-2005-000162-IND""', 'http://www.alertnet.org/thenews/newsdesk/DEL75936.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/DEL36199.htm"">Re', 'http://news.bbc.co.uk/1/hi/world/south_asia/4265396.stm', 'http://www.alertnet.org/thenews/newsdesk/DEL37451.htm"">Re']","['2005/09/20', 'India', 'Severe Local Storm', 'A powerful storm lashed across coastal districts of eastern India, killing at least 34 people and forcing more than 50,000 people from their home.']"
116,27-08-2005,India,Flash Flood,"Twenty-four people were drowned when flash floods inundated hundreds of villages around a commercial town in India's northern Uttar Pradesh state, a government official said on Saturday.",,uttar',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FF-2005-000147-IND"">FF-2005-000147-IN', 'http://edition.cnn.com/2005/WORLD/asiapcf/08/27/india.monsoon.deaths.ap/index.html', 'http://www.alertnet.org/thenews/newsdesk/DEL20468.htm"">Re']","['2005/08/27', 'India', 'Flash Flood', ""Twenty-four people were drowned when flash floods inundated hundreds of villages around a commercial town in India's northern Uttar Pradesh state, a government official said on Saturday.""]"
117,07-08-2005,India,Flood,"Floods and landslides triggered by incessant monsoon rains killed at least 12 people and injured 30 others in the northern Indian state of Uttaranchal, officials said Sunday. The worst hit was Pithoragarh district, about 400 kilometers (250 miles) east of the state's capital Dehradun, where eight members of a family were killed when boulders flattened their home.",,,"['http://news.bbc.co.uk/1/hi/world/south_asia/4129720.stm', 'http://www.indiadaily.com/editorial/3983.asp"">']","['2005/08/07', 'India', 'Flood', ""Floods and landslides triggered by incessant monsoon rains killed at least 12 people and injured 30 others in the northern Indian state of Uttaranchal, officials said Sunday. The worst hit was Pithoragarh district, about 400 kilometers (250 miles) east of the state's capital Dehradun, where eight members of a family were killed when boulders flattened their home.""]"
118,27-07-2005,India,Flood,"Landslides and floods killed at least 850 people in India's western state of Maharashtra, leaving dozens more missing, and crippled normal life in the nation's financial hub, Mumbai (Bombay), a state official said.",,maharashtra',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2005-000125-IND"">FL-2005-000125-IN', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/EGUA-6EVNLX?OpenDocument&amp;rc=3&amp;emid=FL-2005-000104-IND""', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/EGUA-6ERLAV?OpenDocument&amp;rc=3&amp;emid=FL-2005-000104-IND""', 'http://news.bbc.co.uk/1/hi/world/south_asia/4148542.stm', 'http://www.alertnet.org/thenews/newsdesk/BOM212412.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/BOM254578.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/BOM245834.htm"">Re', 'http://news.bbc.co.uk/1/hi/world/south_asia/4140756.stm', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/EGUA-6EYPHV?OpenDocument&amp;rc=3&amp;emid=FL-2005-000104-IND""', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/EGUA-6EVNLX?OpenDocument&amp;rc=3&amp;emid=FL-2005-000104-IND""', 'http://today.reuters.com/news/newsArticle.aspx?type=worldNews&amp;storyID=2005-08-05T115721Z_01_N05197364_RTRIDST_0_INTERNATIONAL-WEATHER-INDIA-DC.XML"">Re', 'http://news.bbc.co.uk/1/hi/world/south_asia/4745301.stm', 'http://news.bbc.co.uk/1/hi/world/south_asia/4737187.stm', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/EGUA-6ERLAV?OpenDocument&amp;rc=3&amp;emid=FL-2005-000104-IND""', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/EGUA-6EPPLN?OpenDocument&amp;rc=3&amp;emid=FL-2005-000104-IND""', 'http://news.bbc.co.uk/1/hi/world/south_asia/4733897.stm', 'http://edition.cnn.com/2005/WORLD/asiapcf/08/01/india.flood/index.html', 'http://news.bbc.co.uk/1/hi/world/south_asia/4732179.stm', 'http://www.alertnet.org/thenews/newsdesk/SP11849.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/BOM8254.htm"">Re', 'http://edition.cnn.com/2005/WORLD/asiapcf/07/28/mumbai.rain/index.html', 'http://www.alertnet.org/thenews/newsdesk/SP311346.htm"">Re', 'http://news.bbc.co.uk/1/hi/world/south_asia/4723335.stm', 'http://www.alertnet.org/thenews/newsdesk/BOM289923.htm"">Re', 'http://edition.cnn.com/2005/WORLD/asiapcf/07/27/mumbai.rain.ap/index.html', 'http://www.sky.com/skynews/article/0,,30200-1190393,00.html"">Sky.com2005/07/2', 'http://www.alertnet.org/thenews/newsdesk/SP290751.htm"">Re', 'http://www.alertnet.org/thenews/pictures/BOM12D.htm"">Re']","['2005/07/27', 'India', 'Flood', ""Landslides and floods killed at least 850 people in India's western state of Maharashtra, leaving dozens more missing, and crippled normal life in the nation's financial hub, Mumbai (Bombay), a state official said."", 'People killed:\r\nMaharashtra state: 926 \r\nGoa state: 4\n\r\nPeople injured:\r\nMaharashtra state: 55', '', '', 'People killed\r\nMaharashtra state: 513\r\nMumbai metropolis: 267\r\nGoa state:13', '', '']"
119,30-06-2005,India,Flood,"Incessant monsoon rains in western India have caused widespread flooding, killing at least 127　people and leaving 25,000 homeless.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2005-000104-IND"">FL-2005-000104-IN', 'http://www.alertnet.org/thenews/newsdesk/BOM8254.htm"">Re', 'http://edition.cnn.com/2005/WORLD/asiapcf/07/28/mumbai.rain/index.html', 'http://www.alertnet.org/thenews/newsdesk/SP311346.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/BOM289923.htm"">Re', 'http://edition.cnn.com/2005/WORLD/asiapcf/07/27/mumbai.rain.ap/index.html', 'http://www.sky.com/skynews/article/0,,30200-1190393,00.html"">Sk', 'http://www.alertnet.org/thenews/newsdesk/SP290751.htm"">Re', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/ACIO-6ENL8Y?OpenDocument&amp;rc=3&amp;cc=ind""', 'http://edition.cnn.com/2005/WORLD/asiapcf/07/26/india.mudslides.ap/index.html', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/EVOD-6EBH4R?OpenDocument&amp;rc=3&amp;emid=FL-2005-000104-IND""', 'http://www.alertnet.org/thenews/newsdesk/B196589.htm"">Re', 'http://earthobservatory.nasa.gov/NaturalHazards/natural_hazards_v2.php3?img_id=12940""', 'http://www.alertnet.org/thenews/newsdesk/DEL240539.htm"">Re', 'http://news.bbc.co.uk/1/hi/world/south_asia/4645801.stm', 'http://news.bbc.co.uk/1/hi/world/south_asia/4640137.stm', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/ACIO-6DVM5E?OpenDocument&amp;rc=3&amp;emid=FL-2005-000104-IND""', 'http://www.alertnet.org/thenews/newsdesk/DEL208526.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/DEL183261.htm"">Re', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/AHAA-6DUV9P?OpenDocument&amp;rc=3&amp;emid=FL-2005-000104-IND""']","['2005/06/30', 'India', 'Flood', 'Incessant monsoon rains in western India have caused widespread flooding, killing at least 127\u3000people and leaving 25,000 homeless.']"
120,26-05-2005,India,Landslide,"At least 12 people were killed and hundreds of houses were damaged in massive landslides in the Indian northeast state of Nagaland, officials said.",,nagaland',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=LS-2005-000077-IND"">LS-2005-000077-IN', 'http://timesofindia.indiatimes.com/articleshow/1123950.cms"">', 'http://www.reuters.com/newsArticle.jhtml?storyID=8613802&amp;type=topNews"">Re', 'http://news.bbc.co.uk/2/hi/south_asia/4581919.stm']","['2005/05/26', 'India', 'Landslide', 'At least 12 people were killed and hundreds of houses were damaged in massive landslides in the Indian northeast state of Nagaland, officials said.']"
121,17-05-2005,India,Heat Wave,"Government officials said at least 25 people have died in a heat wave in the Indian states of Andhra Pradesh and Orissa, where temperatures reach around 50 degrees Celsius in summer.",,andhra',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=HT-2005-000074-IND"">HT-2005-000074-IN', 'http://www.reuters.com/newsArticle.jhtml?type=worldNews&amp;storyID=8862427"">Re', 'http://www.alertnet.org/thenews/newsdesk/DEL10044.htm"">Re', 'http://news.bbc.co.uk/1/hi/world/south_asia/4109404.stm', 'http://www.reuters.com/newsArticle.jhtml?storyID=8830199&amp;type=topNews"">Re', 'http://www.newindpress.com/Newsitems.asp?ID=IEQ20050611124317&amp;Title=ORISSA&amp;Topic=0"">Newind', 'http://news.xinhuanet.com/english/2005-05/27/content_3010519.htm"">X', 'http://www.indiadaily.com/editorial/2852.asp"">X', 'http://news.bbc.co.uk/1/hi/world/south_asia/4561737.stm', 'http://www.reuters.com/newsArticle.jhtml?storyID=8514205&amp;type=topNews"">Re']","['2005/05/17', 'India', 'Heat Wave', 'Government officials said at least 25 people have died in a heat wave in the Indian states of Andhra Pradesh and Orissa, where temperatures reach around 50 degrees Celsius in summer. ']"
122,30-04-2005,India,Severe Local Storm,"A storm has hit the Indian state of West Bengal, leaving at least 13 people dead and more than 2,000 houses destroyed, local government officials said.",,bengal',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=ST-2005-000068-IND"">ST-2005-000068-IN', 'http://news.bbc.co.uk/2/hi/south_asia/4501871.stm']","['2005/04/30', 'India', 'Severe Local Storm', 'A storm has hit the Indian state of West Bengal, leaving at least 13 people dead and more than 2,000 houses destroyed, local government officials said.']"
123,30-04-2005,India,Severe Local Storm,"At least 18 people died and many were injured in the Indian state of Andhra Pradesh after being struck by a severe storm on Saturday, officials said.",,andhra',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=ST-2005-000068-IND"">ST-2005-000068-IN', 'http://news.bbc.co.uk/2/hi/south_asia/4502911.stm']","['2005/04/30', 'India', 'Severe Local Storm', 'At least 18 people died and many were injured in the Indian state of Andhra Pradesh after being struck by a severe storm on Saturday, officials said.']"
